mupesvedzeri 	DKKKD 	1 	z 		mupesvedzeri DKKKD z 1 . mupesveri 1 .
mupesveri 	DKKD 	1 	z 		mupesveri DKKD z 1 . mupesvi 1 .
mupesvi 	DKK 	1 	z 		mupesvi DKK z 1 . Uyu munhu anokurudzira kuti vanhu vanyanyise kupokana. mupesveri 1, mupesvedzeri 1 .
mupetesi 	D- 	1 	z 		mupetesi D- z 1 . muteresi 1 .
mupfakazi 	D- 	1 	z 		mupfakazi D- z 1 . mufakazi 1 .
mupfekeri 	D- 	1 	z 		mupfekeri D- z 1 . Uyu munhu anoda kuzviisa paasingakwani, paasingafanirwi kuva ari.
mupfudzi 	DKK 	1 	z 		mupfudzi DKK z 1 . Mupfudzi munhu anoita kuti vanodanana varambane.
mupfukidzi 	DKKD 	1 	z 		mupfukidzi DKKD z 1 . Uyu munhu anoparadza upfumi hwaainhwo nenzira dzisina kunaka.
mupfumi 	DKK 	1 	z 		mupfumi mufumi DKK z 1 . Mupfumi munhu akagara zvakanaka, ane mari zhinji, kana mombe nezvimwewo zvizhinji. mbozha 9, chinoto 7 .
mupfuuri 	DKKD 	1 	z 		mupfuuri DKKD z 1 . Mupfuuri munhu asiri kugara kwenguva refu paanenge asvika, achaenderera mberi nerwendo rwake.
mupikiti 	D- 	1 	z 		mupikiti D- z 1 . Uyu munhu anoongorora vashandi pamabasa akasiyana-siyana.
mupingiri 	DKKD 	1 	z 		mupingiri DKKD z 1 . Uyu munhu anomhanyira kuvharidzira zvinhu mberi.
mupipiri 	DKKKD 	1 	z 		mupipiri DKKKD z 1 . Mupipiri munhu anochengetedza vamwe. Pataiva kumombe, redu Gwinyai ndiro raiva mupipiri wedu.
mupirikiri 	DKKKD 	1 	z 		mupirikiri DKKKD z 1 . muturikiri 1 .
mupirutsi 	D- 	1 	z 		mupirutsi D- z 1 . Uyu munhu anokonzera bongozozo pakati pevanhu. Munhu ane makuhwa mupiritsi.
mupoki 	D- 	1 	z 		mupoki D- z 1 . Mupoki munhu anokara zvekudya. Mupoki munhu ave nedumbu guru nekudyisa.
muponesi 	DKKD 	1 	z 		muponesi muponisi DKKD z 1 . mununuri 1 .
mupositori 	DKDDD 	1 	z 		mupositori DKDDD z 1 . Uyu mumwe wevanhu vanopinda imwe yemachechi anotevedzera dzidziso yaJesu, vachizviti vapositori. Johane Marange ndiye akatanga chechi huru yechipositori inodaidzwa nezita rake.
mupoteri 	DKKD 	1 	z 		mupoteri DKKD z 1 . Uyu munhu anobva munyika yake achihwanda kune imwe, achitiza hondo kana mhosva dzaanenge achinzi akapara kunyika kwake.
mupunu 	DKD 	1 	z 		mupunu DKD z 1 . Mupunu munhu anofamba asina chaakapfeka.
mupupuri 	DKKD 	1 	z 		mupupuri DKKD z 1 . Uyu munhu anokwanisa kutaura chokwadi chaicho chezvinenge zvakaitika, kana chezvinenge zvichitaurwa.
muputi 	D- 	1 	z 		muputi D- z 1 . Muputi munhu ane tsika yekuputa fodya. Muputi mutimwi unenge une mushonga unopfekwa navasikana muchiuno.
mupwere 	DKK 	1 	z 		mupwere DKK z 1 . Mupwere mwana wezera rechidiki.
murairidzi 	D- 	1 	z 		murairidzi D- z 1 . mudzidzisi 1 .
muramu 	DKD 	1 	z 		muramu mwaramu DKD z 1 . Muramu , munin'ina kana mukoma wemurume wako. Muramu munin'ina kana mukoma wemukadzi wako. Muramu murume kana mukadzi wemunin'ina kana mukoma wako.
muranda 	D- 	1 	z 		muranda D- z 1 . Muranda munhu anosevenzera mumwe mahara, pasina chaanobhadharwa, sezvingaita nhapwa.
murapanuri 	DKKKD 	1 	z 		murapanuri DKKKD z 1 . Uyu munhu anopa dudziro yechirahwe.
murapi 	D- 	1 	z 		murapi D- z 1 . Murapi munhu anobatsira vanhu vanorwara kuti vaite zvakanaka.
murapwa 	DKK 	1 	z 		murapwa murapwi DKK z 1 . Murapwa murwere anenge achipiwa mishonga kuti anaye.
muraramisi 	D- 	1 	z 		muraramisi D- z 1 . muponesi 1 .
mureri 	D- 	1 	z 		mureri D- z 1 . Mureri munhu anochengeta mwana kubva achiri mudiki kusvika akura, asiri iye nyakubereka. Mureri munhu anosevenza basa rekuchengeta vana, iye achitambiriswa.
murevi 	DKK 	1 	z 		murevi DKK z 1 . Murevi munhu ane makuhwa, anotaura zvinhu zvaanenge asingafaniri kutaura.
muridzi 	D- 	1 	z 		muridzi D- z 1 . Muridzi wengoma ndiye anenge achiibandamura.
murimi 	D- 	1 	z 		murimi D- z 1 . Murimi munhu anorarama nekurima mbeu kana nekupfuya zvipfuyo zvakasiyana-siyana.
murindi 	D- 	1 	z 		murindi D- z 1 . Murindi munhu ane basa rekuchengetedza nzvimbo kana vanhu.
muriritiri 	DKKKD 	1 	z 		muriritiri DKKKD z 1 . Munhu anochengeta vanhu vasati vava kugona kuzvimiririra vega muupenyu achivapa zvekudya, zvekupfeka nezvimwewo.
murisi 	DKK 	1 	z 		murisi DKK z 1 . Murisi munhu anofudza mombe.
murombo 	DDK 	1 	z 		murombo DDK z 1 . Murombo munhu asina kana nekai zvako kaanoti ndekake chaiko, zvinoita kuti agare achitambura. muchena 1 .
murongo 	D- 	1 	z 		murongo D- z 1 . Murongo mudzimai wechipiri wamambo. nhumwa 9 .
muronzi 	D- 	1 	z 		muronzi D- z 1 . Muronzi munhu anopa zvinhu zvake kune vamwe kuti vamuchengetere kwenguva yakareba.
muroora 	DKKD 	1 	z 		muroora DKKD z 1 . Muroora mukadzi wemwanakomana wemhuri. Muroora izita remuti mudiki, unobereka muchero unotarisika setumabhanana tudiki tumbishi.
muroyi 	D- 	1 	z 		muroyi D- z 1 . Muroyi munhu anoshandisa mishonga nezvidhoma kukuvadza nekuuraya vamwe.
murudzi 	D- 	1 	z 		murudzi D- z 1 . Murudzi munhu wekune imwe nyika, asiri muShona.
murumbi 	D- 	1 	z 		murumbi D- z 1 . murungu 1 .
murumbwana 	DKDK 	1 	z 		murumbwana DKDK z 1 . Uyu mwana mukomana.
murume 	DKK 	1 	z 		murume DKK z 1 . Uyu munhu anogona kuburitsa urume hunoti, kana hukasangana nezai remukadzi, mukadzi ogona kuchiumba mwana mudumbu make. munhurume 1 . Murume wemunhurume anenge ari munhu wechirume akamuroora.
murumudzani 	DKKKD 	1 	z 		murumudzani DKKKD z 1 . Uyu mwana waamai vako waunenge wakazvarwa naye muchiteverana. mutevedzani 1, buda ndibudewo 1a .
murungu 	D- 	1 	z 		murungu D- z 1 . Murungu munhu ane ganda rakatsvuka zvekutoda kuchena, nevhudzi rinoyerera, uye ane madziteteguru akazvarirwa kuEurope. muchena 1, muzungu 1, murumbi 1 .
murunyana 	DKDK 	1 	z 		murunyana DKDK z 1 . Uyu munin'ina wemurume. babamunini 1a, babamudiki 1a, muramu 1 .
mururi 	D- 	1 	z 		mururi D- z 1 . Mururi ndiye anoita kuti mutambo uchitanga.
muruti 	D- 	1 	z 		muruti D- z 1 . Muruti munhu anofarira nyama zvakanyanya.
muruviri 	D- 	1 	z 		muruviri D- z 1 . Uyu munhu anoshandira mumwe kuti agobhadharwa.
muruvisi 	D- 	1 	z 		muruvisi D- z 1 . Uyu munhu anofamba achitora mitero.
murwanapasi 	DKKDK 	1 	z 		murwanapasi DKKDK z 1 . Uyu munhu anoita zvinokanganisa mumwe, asi asingamubudiri pachena kuti haamufarire.
murwandirere 	DKKDK 	1 	z 		murwandirere DKKDK z 1 . Uyu munhu anoshandisa mushonga wekukuvadza vamwe.
murwere 	DKD 	1 	z 		murwere DKD z 1 . Murwere munhu anenge achidzimbikana, asinganzwi muviri wake zvakanaka.
murwi 	D- 	1 	z 		murwi D- z 1 . Murwi munhu anoenda kuhondo kunodzivirira nyika yake, kana imwewo nyaya inenge ichirwirwa. Murwi zvinhu zvinenge zvakaunganidzwa panzvimbo imwe. Tsotsi rakawanikwa riine murwi wemaredhiyo emota mudura mehozi. dutu 5 .
murwiri 	D- 	1 	z 		murwiri D- z 1 . Murwiri munhu anokudzivirira kubva munjodzi.
murwisanisi 	D- 	1 	z 		murwisanisi D- z 1 . Uyu munhu anofurira vamwe, achivakusvudzira kuti varwe.
murwisi 	D- 	1 	z 		murwisi D- z 1 . Murwisi munhu anouya achida kukurova kana kukutorera zvaunazvo.
musambanegore 	DDDKDK 	1 	z 		musambanegore DDDKDK z 1 . Iri nderimwe zita regudo asi riri rekunemera.
musande 	DKD 	1 	z 		musande DKD z 1 . Musande munhu akanakisisa akafa achiteedza kuda kwaMwari. Musande munamato unoitirwa mufi, papera gore afa.
musevenzi 	DKKD 	1 	z 		musevenzi DKKD z 1 . Uyu munhu anenge achiita basa pamba kana pakambani, achibhadharwa. mushandi 1 .
mushakabvu 	DKKD 	1 	z 		mushakabvu muchakabvu DKKD z 1 . Uyu munhu akashaya.
mushamarari 	DKKKD 	1 	z 		mushamarari DKKKD z 1 . Uyu munhu ane basa rekutepfenyura zvirongwa zvinobva kuimba yemhepo zvichibuda nemuwairesi kana mutiivhii. mushevedzeri 1 .
mushambadzi 	DKKD 	1 	z 		mushambadzi mushambadziri DKKD z 1 . Uyu munhu anotengesa zvinhu mungava munzira, mubepa kana muwairesi.
mushandi 	DKK 	1 	z 		mushandi DKK z 1 . musevenzi 1 .
mushangazhiki 	D- 	1 	z 		mushangazhiki D- z 1 . Uyu munhu anoita basa nesimba uye achitaridza kufarira basa rake.
mushanyi 	DKK 	1 	z 		mushanyi DKK z 1 . Mushanyi munhu anobva kune imwe, nzvimbo achienda kune imwe nechinangwa chekuona vanhu kana kugadzirisa zvimwe zvinhu.
