eɪ	A
k æ p ɹ ɪ k ɔ n	Capricorn
k æ p ɹ ɪ k ɔ n z	Capricorns
k ɑ b ə n ɪ f ə ɹ ə s	Carboniferous
k ɑ l	Carl
k ɑ m ə l aɪ t	Carmelite
k ɑ m ə l aɪ t s	Carmelites
k æ t ə l æ n	Catalan
k æ t ə l oʊ n j ə	Catalonia
k æ θ ə ɹ ɪ n	Catherine
k æ θ ə l ɪ k	Catholic
k ə θ ɔ l ə s ɪ z ə m	Catholicism
k æ θ oʊ l ɪ s ə t ɪ	Catholicity
k æ θ ə l ɪ k s	Catholics
k ɔ k eɪ z j ə	Caucasia
k ɔ k eɪ z j ə n	Caucasian
k ɔ k eɪ z j ə n z	Caucasians
k ɔ k ə s ə s	Caucasus
s ɛ l s ɪ ə s	Celsius
k ɛ l t	Celt
k ɛ l t ɪ k	Celtic
k ɛ l t s	Celts
ʃ æ b l i	Chablis
t˗ ʃ æ d	Chad
t˗ ʃ æ d ɪ ə n	Chadian
t˗ ʃ æ d ɪ ə n z	Chadians
t˗ ʃ æ n t ɪ k l ɪ ə	Chanticleer
t˗ ʃ ɑ l s t ə n	Charleston
t˗ ʃ ɑ l s t ə n z	Charlestons
t˗ ʃ ɑ l ɪ	Charlie
t˗ ʃ ɑ t ɪ z ə m	Chartism
t˗ ʃ ɑ t ɪ s t	Chartist
t˗ ʃ ɑ t ɪ s t s	Chartists
k ə ɹ ɪ b d ɪ s	Charybdis
t˗ ʃ ɛ ʃ ə	Cheshire
k ɪ æ n t ɪ	Chianti
t˗ ʃ ɪ k ɑ n oʊ	Chicano
t˗ ʃ ɪ k ɑ n oʊ z	Chicanos
t˗ ʃ ɪ l ɪ	Chile
t˗ ʃ ɪ l ɪ ə n	Chilean
t˗ ʃ ɪ l ɪ ə n z	Chileans
t˗ ʃ aɪ n ə	China
t˗ ʃ aɪ n ə t aʊ n	Chinatown
t˗ ʃ aɪ n ə t aʊ n z	Chinatowns
t˗ ʃ aɪ n i z	Chinese
t˗ ʃ ɪ ŋ k	Chink
t˗ ʃ ɪ ŋ k s	Chinks
t˗ ʃ ɪ p ə n d eɪ l	Chippendale
t˗ ʃ ɪ p ə	Chipper
k ɹ aɪ s t	Christ
k ɹ aɪ s t d ə m	Christendom
k ɹ ɪ s t˗ ʃ ə n	Christian
k ɹ ɪ s t ɪ æ n ə t ɪ	Christianity
k ɹ ɪ s t˗ ʃ ə n z	Christians
k ɹ ɪ s m ə s	Christmas
k ɹ ɪ s m ə s b ɔ k s	Christmas-box
k ɹ ɪ s m ə s b ɔ k s ɪ z	Christmas-boxes
