english word,fijian word,pronouce,comments,AudioFile,AudioFileName
"Bailer","nimima",,,0,
"hold","taura",,,0,
"how many?","vica",,,0,
"near","voleka",,,0,
"wireless","walesi",,,0,
"you","iko, drau, dou, onε, nε",,,0,
"morning","mataka",,,0,
"net","lawa",,,0,
"newspaper","niusi.veva",,,0,
"ocean","wasa.wasa, wasa",,,0,
"only","ga, dua.dua, wale ga",,,0,
"please","yalo vinaka, beka, mada",,,0,
"radio","walesi",,,0,
"reef","cakau",,,0,
"rest","cegu, vaka.cegu",,,0,
"ripe","matua",,,0,
"road","sala, gauni.sala",,,0,
"say","tukuna",,,0,
"see","raica",,,0,
"she","koya",,,0,
"show","vaka.rai.taka",,,0,
"some","so",,,0,
"soul","yalo",,,0,
"stand","tu",,,0,
"stick","kau",,,0,
"store","sitoa",,,0,
"strong","kau.kaua",,,0,
"sweet","kami.kamica",,,0,
"tapioca","tavi.oka",,,0,
"tell","tukuna",,,0,
"that (adj.)","oqori, oya",,,0,
"tired","oca",,,0,
"today","dai.dai, nikua",,,0,
"tree","kau, vu ni kau",,,0,
"underneath","e ra",,,0,
"very","sara",,,0,
"walk","gade, tau.bale",,,0,
"we","daru, datou, da,","kei.rau, kei.tou, kei.ma","mi",0,
"white person","vavalagi",,,0,
"Holy Bible","Ai Vola Tabu",,,0,
"miss (v.)","cala",,,0,
"room","rumu",,,0,
"torch","cina",,,0,
"arrive, come to a stop","kele",,,1,"kele.mp3"
"short","lekaleka",,,1,"lekaleka.mp3"
"at, from, hither","mai",,,1,"mai.mp3"
"bathe","sisili",,"swim",0,
"day","siga",,"stop raining, daylig",1,"siga.mp3"
"rain","uca",,,1,"uca.mp3"
"kava","yaqona",,,1,"yaqona.mp3"
"Corpse to be eaten","bokola",,,0,
"soldier, bodyguard","bati",,"holder of the marches",0,
"Great Council of Chiefs","Bose levu vakaturaga",,,0,
"gone turaga","high chief",,,0,
"grumbling","kudrukudru",,,0,
"authority","lewa",,,0,
"commoners","lewenivanua",,,0,
"religion","lotu",,,0,
"family head (elected)","matai",,"(Samoan)",0,
"herald, ambassador","matanivanua",,"spokesman",0,
"landowning group","matanqali",,"defined by descent, clan",0,
"apology (ceremonial act of)","soro",,,0,
"whale's tooth","tabua",,,0,
"owner of soil","taukei ni qele",,,0,
"sharing ancestral god","tauvu",,,0,
"sub-clan","tokatoka",,,0,
"a title","tui",,"when prefixed to a place name",0,
"sister's son","vasu",,,0,
"presumptuous, to be","viavialevu",,,0,
"tree grub","yavato",,,0,
"Native Lands Commission","Veitarogivanua",,,0,
"airline","kabani ni waqavuka",,,0,
"airplane","waqavuka",,,0,
"almost","voleka","vooleka",,0,
"alone","duadua, taudua",,,0,
"also","tale ga","tale ngaa",,0,
"Eatible Greens","rourou",,"leaf of dalo root",0,
"after (wards)","oti",,,0,
"afternoon","sigalevu",,"(till about 3pm)",0,
"perhaps","beka",,"if you please, expre",0,
"with, and","kei",,,0,
"lesson","lesoni",,,0,
"2nd person plural","oni",,"or singular polite",0,
"smart","matai",,"expert, skilled; car",0,
"sailor","mua",,"as in kai mua",0,
"stand up","tu cake",,"(tu=stand, be;cake=u",0,
"village green","rara",,,0,
"different","dua.tani, dui.dui",,,0,
"fare","ivodo.vodo",,,0,
"garden","itei.tei",,,0,
"hundred","drau",,"dua na drau",0,
"middle","veimama",,,0,
"pardon me","vosoti au",,,0,
"post office","positovesi",,,0,
"they","rau, ratou, era, ra, ira",,,0,
"when?","naica",,,0,
"people","kai",,,0,
"confederacy","matanitu",,"government",0,
"formal presentation","sevusevu",,"usually of kava",0,
"beach (landing)","matasawa",,,0,
"beach (bathing)","baravi nuku",,,0,
"beans","bini",,,0,
"beard","kumi",,,0,
"because","baleta, ni",,,0,
"bed","imocemoce, idavodavo",,,0,
"bedbug","kutunitana",,,0,
"beef","bulumakau",,,0,
"before","I liu",,,0,
"beggar","daukerekere",,,0,
"begin","tekivu",,,0,
"beginner","se qai vuli",,,0,
"behind","I muri, daku-",,,0,
"behind you","I dakumu",,,0,
"belch","derekona, todroge",,,0,
"believe","vakabauta",,,0,
"bell","lali",,,0,
"below","I ra",,,0,
"bent","kalove",,,0,
"beside","I yasa",,,0,
"best","vinaka duadua",,,0,
"between","I loma ni… kei…",,,0,
"bible","ivolatabu",,,0,
"bicycle","basikeli",,,0,
"bill","bili",,,0,
"bird","manumanu (vuka)",,,0,
"birthday","sigaanisucu",,,0,
"biscuit","keke, bisikete",,,0,
"bit","tiki",,,0,
"bitter","gaga",,,0,
"blame","beitaka",,,0,
"blanket","vulaqeti",,,0,
"bleed","dra",,,0,
"bless","vakalougatataka",,,0,
"blind","mataboko",,,0,
"blister","buta",,,0,
"blond","uluvula",,,0,
"blood","dra",,,0,
"blow (wind)","liwa",,,0,
"blow (person)","uvu-ca",,,0,
"board (v)","vodo",,,0,
"boat","waqa, boto",,,0,
"body","yago-",,,0,
"boil (n)","bo",,,0,
"allow","vakadonuya","vakandoonuya",,0,
"boil (v)","vakasaqa-ra",,,0,
"bomb","bomu",,,0,
"bookshop","sitoa no ivola",,,0,
"bored","vucesa",,,0,
"boring","vakavucesa",,,0,
"borrow","kerea, vakayagataka",,,0,
"boss","boso",,,0,
"both","ruarua",,,0,
"bottle","tavaya",,,0,
"box","kateni",,,0,
"boy","gonetagane",,,0,
"boyfriend","itau (tagane)",,,0,
"bracelet","qato",,,0,
"brave","yaloqaqa",,,0,
"breadfruit","uto",,,0,
"break","musuka",,,0,
"break (glass, china)","voroka",,,0,
"break (rope, vine)","gutuva",,,0,
"break open","basu-ka",,,0,
"breakfast","ikatalau",,"have breakfast - katalau",0,
"breastfeed","vakasucuma",,,0,
"breathe","cegu",,,0,
"breeze","mudre",,,0,
"bribe","vaqumia",,,0,
"bridge","wavu",,,0,
"bright","ramase",,,0,
"broken","kamusu",,,0,
"broken (bone)","ramusu",,,0,
"broken (glass, china)","kavoro",,,0,
"about (approx)","rauta",,,1,"rauta.mp3"
"awake","yadra",,,1,"yadra.mp3"
"bad","ca","thaa",,1,"ca.mp3"
"red","damudamu",,,1,"damudamu.mp3"
"heavy","bibi",,,1,"bibi.mp3"
"yellow","dromodromo",,,1,"dromodromo.mp3"
"Excuse me","tulou/tilou","too-low",,1,"tilou.mp3"
"No","sega","senga",,1,"sega.mp3"
"Eat","kana","kahnah",,1,"kana.mp3"
"Two","rua","roo ah",,1,"rua.mp3"
"Drink","gunu","goo noo",,1,"gunu.mp3"
"go","lako",,,1,"lako.mp3"
"awake, good morning","yadra",,,1,"yadra.mp3"
"long, tall","balavu",,,1,"balavu.mp3"
